Entity Type,Entity ID,Assignment Profile ID,Status,Action,Last Updated By,Last Update Time,Create Timestamp
Curriculum,CUR-LSG-BED-EHS-0020,AP-LSG-BED-MSE-0005,A,Delete,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:38 PM"
Curriculum,CUR-LSG-BED-EHS-0028,AP-LSG-BED-MSE-0005,A,Delete,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:38 PM"
Curriculum,CUR-LSG-BED-EHS-0043,AP-LSG-BED-MSE-0005,A,Delete,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:38 PM"
Curriculum,CUR-LSG-BED-EHS-0048,AP-LSG-BED-MSE-0005,A,Delete,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:38 PM"
Curriculum,CUR-LSG-BED-MSE-5001,AP-LSG-BED-MSE-0005,A,Delete,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:38 PM"
Curriculum,CUR-LSG-BED-EHS-0020,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-EHS-0025,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-EHS-0026,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-EHS-0027,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-EHS-0028,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-EHS-0041,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-EHS-0043,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-EHS-0048,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-MSE-5001,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-QA-0046,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:17 AM America/Indianapolis,"Jan 26, 2026, 2:17 PM"
Curriculum,CUR-LSG-BED-MSE-5007,AP-LSG-BED-MSE-0005,A,Insert,129750,26/Jan/2026 09:38 AM America/Indianapolis,"Jan 26, 2026, 2:38 PM"
Curriculum,CUR-LSG-BED-EHS-0026,AP-LSG-BED-MSE-0005,P,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-EHS-0026,AP-LSG-BED-MSE-0005,V,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-EHS-0041,AP-LSG-BED-MSE-0005,P,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-EHS-0041,AP-LSG-BED-MSE-0005,V,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-QA-0046,AP-LSG-BED-MSE-0005,P,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-QA-0046,AP-LSG-BED-MSE-0005,V,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-EHS-0027,AP-LSG-BED-MSE-0005,P,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-EHS-0027,AP-LSG-BED-MSE-0005,V,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-EHS-0025,AP-LSG-BED-MSE-0005,P,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-EHS-0025,AP-LSG-BED-MSE-0005,V,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-MSE-5007,AP-LSG-BED-MSE-0005,P,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
Curriculum,CUR-LSG-BED-MSE-5007,AP-LSG-BED-MSE-0005,V,Modify,129750,26/Jan/2026 09:45 AM America/Indianapolis,"Jan 26, 2026, 2:45 PM"
